SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
AKG,2026-08-05,8.43,10.03,19.63,9.01,-6.44,-57.06,-15.95,-15.7,"C10,C11,C17,C18,C28,C29,C30,C31,C33,C34,C35,C36,C37,C38,C39,C40,C42,C43,C44,C45,C48,C49,C50",23
MAPMYINDIA,2026-08-05,1046.4,1139.7,2166.7,1092.7,-4.24,-51.71,-8.19,-10.03,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26",12
MONTECARLO,2026-08-05,500.95,538.15,860.95,520.5,-3.76,-41.81,-6.91,-5.59,"C1,C2,C3,C4,C5,C6,C7,C8",8
SKMEGGPROD,2026-08-05,230.74,240.14,465.0,239.0,-3.46,-50.38,-3.91,-15.63,"C1,C2,C3,C4,C5,C6,C8",7
BBL,2026-08-05,2320.1,2390.2,3913.85,2368.0,-2.02,-40.72,-2.93,-9.8,"C2,C3,C5,C6,C7",5
JUSTDIAL,2026-08-05,683.0,703.75,1096.0,701.0,-2.57,-37.68,-2.95,-9.38,"C2,C3,C5,C6,C7",5
SYMPHONY,2026-08-05,644.75,672.3,1454.8,671.0,-3.91,-55.68,-4.1,-7.09,"C1,C2,C4,C5,C8",5
CRIZAC,2026-08-05,183.21,191.74,387.95,188.22,-2.66,-52.77,-4.45,-4.53,"C2,C3,C5,C6",4
DJML,2026-08-05,105.05,110.75,152.99,110.0,-4.5,-31.34,-5.15,-9.02,"C1,C4,C8,C26",4
XPROINDIA,2026-08-05,1111.8,1178.2,1635.0,1158.5,-4.03,-32.0,-5.64,-18.55,"C1,C4,C8,C26",4
GATEWAY,2026-08-05,55.91,59.7,83.59,57.69,-3.09,-33.11,-6.35,-3.93,"C1,C4,C8",3
