SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
ABMINTLLTD,2026-06-09,39.41,42.95,74.49,42.82,-7.96,-47.09,-8.24,-16.93,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",44
KITEX,2026-06-09,146.17,163.57,314.0,158.18,-7.59,-53.45,-10.64,-9.15,"C1,C2,C3,C4,C5,C6,C8,C10,C11,C12,C13,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",42
GRADIENTE,2026-06-09,2.65,2.78,5.11,2.78,-4.68,-48.14,-4.68,-22.06,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",21
GICL,2026-06-09,21.55,22.65,43.93,22.65,-4.86,-50.94,-4.86,-46.43,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",20
MASTERTR,2026-06-09,75.04,92.02,176.69,78.96,-4.96,-57.53,-18.45,-7.68,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",18
AVANTIFEED,2026-06-09,1027.0,1068.8,1593.8,1063.6,-3.44,-35.56,-3.91,-11.36,"C1,C2,C3,C4,C5,C6,C7,C8",8
DBSTOCKBRO,2026-06-09,30.17,31.55,52.0,31.11,-3.02,-41.98,-4.37,-11.5,"C1,C2,C3,C4,C5,C6,C7,C8",8
INNOVANA,2026-06-09,300.55,313.05,649.5,310.1,-3.08,-53.73,-3.99,-9.47,"C1,C2,C3,C4,C5,C6,C8",7
BANARBEADS,2026-06-09,99.7,102.52,164.7,102.0,-2.25,-39.47,-2.75,-7.7,"C2,C3,C5,C6,C7",5
JARO,2026-06-09,533.7,549.9,890.0,545.0,-2.07,-40.03,-2.95,-7.34,"C2,C3,C5,C6,C7",5
ACCURACY,2026-06-09,5.24,5.44,11.32,5.36,-2.24,-53.71,-3.68,-7.91,"C2,C3,C5,C6",4
NITIRAJ,2026-06-09,171.85,177.26,421.6,176.2,-2.47,-59.24,-3.05,-11.65,"C2,C5",2
SSDL,2026-06-09,54.23,55.88,135.0,55.55,-2.38,-59.83,-2.95,-8.13,"C2,C5",2
