SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
AVONMORE,2026-09-17,12.02,13.06,27.32,12.9,-6.82,-56.0,-7.96,-14.08,"C1,C2,C4,C5,C8,C10,C11,C17,C18,C22,C23,C24,C25,C26,C28,C29,C30,C31,C33,C34,C35,C36,C37,C38,C39,C40,C42,C43,C44,C45,C48,C49,C50",33
AAATECH,2026-09-17,84.57,92.54,136.0,90.81,-6.87,-37.82,-8.61,-7.94,"C1,C2,C3,C4,C5,C6,C7,C8,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",28
SAMBANDAM,2026-09-17,101.51,106.27,161.9,106.25,-4.46,-37.3,-4.48,-10.18,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
RHETAN,2026-09-17,20.59,21.67,34.87,21.67,-4.98,-40.95,-4.98,-22.59,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
PALREDTEC,2026-09-17,46.01,47.63,83.5,47.61,-3.36,-44.9,-3.4,-9.34,"C1,C2,C3,C4,C5,C6,C7,C8",8
GUJAPOLLO,2026-09-17,324.0,338.1,556.0,332.2,-2.47,-41.73,-4.17,-6.09,"C2,C3,C5,C6,C7",5
TECHNVISN,2026-09-17,4144.0,4362.0,6198.0,4362.0,-5.0,-33.14,-5.0,-15.92,"C1,C4,C8,C26",4
MEDICAPQ,2026-09-17,24.81,25.81,36.8,25.68,-3.39,-32.58,-3.87,-19.29,"C1,C4,C8",3
