SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
MEESHO,2026-06-04,165.34,175.4,254.4,174.1,-5.03,-35.01,-5.74,-12.04,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
GRADIENTE,2026-06-04,3.07,3.23,5.11,3.23,-4.95,-39.92,-4.95,-22.08,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27",15
RETAIL,2026-06-04,18.17,21.21,44.45,19.7,-7.77,-59.12,-14.33,-11.8,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26",10
SCHAND,2026-06-04,148.53,153.07,257.9,152.01,-2.29,-42.41,-2.97,-13.29,"C2,C3,C5,C6,C7",5
XTGLOBAL,2026-06-04,29.88,31.05,52.37,30.5,-2.03,-42.94,-3.77,-5.65,"C2,C3,C5,C6,C7",5
EVERESTIND,2026-06-04,365.85,377.2,816.0,374.05,-2.19,-55.17,-3.01,-6.47,"C2,C5",2
TRU,2026-06-04,5.5,5.71,13.24,5.65,-2.65,-58.46,-3.68,-7.09,"C2,C5",2
