SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
ELITECON,2026-06-08,26.79,28.96,46.4,28.4,-5.67,-42.26,-7.49,-13.64,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C48,C49,C50,C51,C52",49
MAHEPC,2026-06-08,106.22,112.8,185.12,112.2,-5.33,-42.62,-5.83,-7.43,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C48,C49,C50,C51,C52",49
SILVERADD,2026-06-08,229.55,245.48,390.0,242.88,-5.49,-41.14,-6.49,-8.75,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C48,C49,C50,C51,C52",49
GICL,2026-06-08,22.65,25.16,43.93,24.34,-6.94,-48.44,-9.98,-45.84,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",44
BOHRAIND,2026-06-08,16.99,20.26,35.58,18.29,-7.11,-52.25,-16.14,-10.72,"C1,C2,C3,C4,C5,C6,C8,C10,C11,C12,C13,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",42
AXISILVER,2026-06-08,237.53,252.8,390.01,250.23,-5.08,-39.1,-6.04,-8.22,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
ESILVER,2026-06-08,238.2,253.99,375.0,251.62,-5.33,-36.48,-6.22,-8.36,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
HDFCSILVER,2026-06-08,227.58,243.53,359.0,240.52,-5.38,-36.61,-6.55,-8.85,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
MOSILVER,2026-06-08,236.11,251.4,385.0,248.77,-5.09,-38.67,-6.08,-8.37,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
SBISILVER,2026-06-08,233.57,249.42,362.0,246.59,-5.28,-35.48,-6.35,-8.57,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
SILVER,2026-06-08,238.37,254.25,371.89,251.5,-5.22,-35.9,-6.25,-8.45,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
SILVERBEES,2026-06-08,227.93,243.58,360.0,241.0,-5.42,-36.69,-6.42,-8.66,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
SILVERBETA,2026-06-08,229.97,246.01,379.66,243.16,-5.42,-39.43,-6.52,-8.76,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
SILVERBND,2026-06-08,237.58,254.41,389.0,252.21,-5.8,-38.93,-6.62,-8.72,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
SILVERIETF,2026-06-08,238.4,254.27,373.5,251.5,-5.21,-36.17,-6.24,-8.46,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
TARC,2026-06-08,123.07,128.91,206.1,128.2,-4.0,-40.29,-4.53,-6.42,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45,C46",22
GRADIENTE,2026-06-08,2.78,2.92,5.11,2.92,-4.79,-45.6,-4.79,-22.13,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",21
SOLARWORLD,2026-06-08,182.76,191.75,388.5,190.55,-4.09,-52.96,-4.69,-9.18,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",20
SILVERAG,2026-06-08,232.84,247.88,380.0,245.03,-4.97,-38.73,-6.07,-8.32,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
SILVERCASE,2026-06-08,24.28,25.88,38.01,25.51,-4.82,-36.12,-6.18,-8.31,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
SDBL,2026-06-08,70.45,74.64,173.03,74.11,-4.94,-59.28,-5.61,-6.14,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",18
SPANDANA,2026-06-08,233.35,255.0,519.65,243.65,-4.23,-55.09,-8.49,-6.12,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",18
RESPONIND,2026-06-08,169.93,180.66,271.5,177.6,-4.32,-37.41,-5.94,-6.05,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27",15
ARTNIRMAN,2026-06-08,39.08,42.83,72.5,41.0,-4.68,-46.1,-8.76,-8.26,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
BANSALWIRE,2026-06-08,292.3,305.55,466.7,303.55,-3.71,-37.37,-4.34,-5.22,"C1,C2,C3,C4,C5,C6,C7,C8",8
CLSEL,2026-06-08,267.55,278.85,447.2,276.55,-3.25,-40.17,-4.05,-7.28,"C1,C2,C3,C4,C5,C6,C7,C8",8
DSSL,2026-06-08,1247.0,1288.7,1924.8,1288.7,-3.24,-35.21,-3.24,-20.64,"C1,C2,C3,C4,C5,C6,C7,C8",8
EKC,2026-06-08,108.36,113.01,195.87,112.11,-3.34,-44.68,-4.11,-6.61,"C1,C2,C3,C4,C5,C6,C7,C8",8
FSL,2026-06-08,252.0,268.0,422.3,260.0,-3.08,-40.33,-5.97,-5.71,"C1,C2,C3,C4,C5,C6,C7,C8",8
JKTYRE,2026-06-08,365.7,381.85,611.9,377.45,-3.11,-40.24,-4.23,-5.5,"C1,C2,C3,C4,C5,C6,C7,C8",8
NOCIL,2026-06-08,155.92,161.19,257.0,160.85,-3.06,-39.33,-3.27,-4.32,"C1,C2,C3,C4,C5,C6,C7,C8",8
PENIND,2026-06-08,150.56,158.07,279.9,155.72,-3.31,-46.21,-4.75,-5.57,"C1,C2,C3,C4,C5,C6,C7,C8",8
SOLEX,2026-06-08,1056.9,1109.9,1985.0,1100.0,-3.92,-46.76,-4.78,-9.84,"C1,C2,C3,C4,C5,C6,C7,C8",8
SPMLINFRA,2026-06-08,189.13,197.0,323.4,196.0,-3.51,-41.52,-3.99,-6.4,"C1,C2,C3,C4,C5,C6,C7,C8",8
WIPRO,2026-06-08,181.76,198.37,324.6,188.15,-3.4,-44.0,-8.37,-11.94,"C1,C2,C3,C4,C5,C6,C7,C8",8
JAIPURKURT,2026-06-08,28.83,30.03,59.0,29.89,-3.55,-51.14,-4.0,-12.69,"C1,C2,C3,C4,C5,C6,C8",7
KAMATHOTEL,2026-06-08,168.95,178.68,353.6,175.0,-3.46,-52.22,-5.45,-5.89,"C1,C2,C3,C4,C5,C6,C8",7
KARMAENG,2026-06-08,39.99,42.06,86.93,41.61,-3.89,-54.0,-4.92,-10.76,"C1,C2,C3,C4,C5,C6,C8",7
RAMRAT,2026-06-08,373.65,391.5,785.95,386.75,-3.39,-52.46,-4.56,-6.65,"C1,C2,C3,C4,C5,C6,C8",7
RSYSTEMS,2026-06-08,243.55,255.3,496.9,252.5,-3.54,-50.99,-4.6,-8.18,"C1,C2,C3,C4,C5,C6,C8",7
AAVAS,2026-06-08,1259.3,1297.8,2234.0,1286.0,-2.08,-43.63,-2.97,-4.92,"C2,C3,C5,C6,C7",5
ALICON,2026-06-08,634.25,651.9,1065.0,650.0,-2.42,-40.45,-2.71,-4.93,"C2,C3,C5,C6,C7",5
BIRLAMONEY,2026-06-08,130.64,136.6,208.71,133.93,-2.46,-37.41,-4.36,-4.0,"C2,C3,C5,C6,C7",5
CROMPTON,2026-06-08,256.9,266.6,395.85,264.4,-2.84,-35.1,-3.64,-6.04,"C2,C3,C5,C6,C7",5
DCAL,2026-06-08,184.37,189.88,321.95,188.9,-2.4,-42.73,-2.9,-5.75,"C2,C3,C5,C6,C7",5
ESTER,2026-06-08,88.56,91.88,174.9,91.0,-2.68,-49.37,-3.61,-4.4,"C2,C3,C5,C6,C7",5
EXPLEOSOL,2026-06-08,826.05,857.1,1418.4,849.75,-2.79,-41.76,-3.62,-5.55,"C2,C3,C5,C6,C7",5
GHCL,2026-06-08,428.8,440.75,779.0,439.35,-2.4,-44.96,-2.71,-6.72,"C2,C3,C5,C6,C7",5
IEX,2026-06-08,118.96,122.38,215.4,122.2,-2.65,-44.77,-2.79,-5.13,"C2,C3,C5,C6,C7",5
JKIL,2026-06-08,467.5,483.4,782.0,481.2,-2.85,-40.22,-3.29,-6.36,"C2,C3,C5,C6,C7",5
JTEKTINDIA,2026-06-08,119.43,122.54,188.5,122.32,-2.36,-36.64,-2.54,-5.17,"C2,C3,C5,C6,C7",5
LEMONTREE,2026-06-08,107.09,109.91,180.68,109.41,-2.12,-40.73,-2.57,-4.51,"C2,C3,C5,C6,C7",5
MBEL,2026-06-08,270.35,280.55,535.9,277.0,-2.4,-49.55,-3.64,-9.23,"C2,C3,C5,C6,C7",5
MEDICO,2026-06-08,43.67,45.52,79.83,44.82,-2.57,-45.3,-4.06,-8.26,"C2,C3,C5,C6,C7",5
NUCLEUS,2026-06-08,695.4,718.0,1378.0,715.0,-2.74,-49.54,-3.15,-4.25,"C2,C3,C5,C6,C7",5
PURVA,2026-06-08,203.42,210.44,402.45,209.5,-2.9,-49.45,-3.34,-4.94,"C2,C3,C5,C6,C7",5
RKFORGE,2026-06-08,534.6,554.6,1020.0,548.8,-2.59,-47.59,-3.61,-6.99,"C2,C3,C5,C6,C7",5
ROHLTD,2026-06-08,311.9,320.35,593.4,318.6,-2.1,-47.44,-2.64,-7.42,"C2,C3,C5,C6,C7",5
RUPA,2026-06-08,147.57,152.89,259.75,151.3,-2.47,-43.19,-3.48,-7.33,"C2,C3,C5,C6,C7",5
SAMBHAAV,2026-06-08,6.3,6.55,11.45,6.49,-2.93,-44.98,-3.82,-5.12,"C2,C3,C5,C6,C7",5
SBICARD,2026-06-08,574.55,589.6,1027.25,587.2,-2.15,-44.07,-2.55,-6.72,"C2,C3,C5,C6,C7",5
