SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
AWHCL,2026-08-11,389.35,417.35,693.0,411.4,-5.36,-43.82,-6.71,-9.36,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C48,C49,C50,C51,C52",49
HLEGLAS,2026-08-11,379.6,474.5,661.95,413.45,-8.19,-42.65,-20.0,-10.25,"C1,C2,C3,C4,C5,C6,C7,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C24,C25,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C48,C49,C50,C51,C52",46
KPEL,2026-08-11,271.25,291.6,583.7,289.0,-6.14,-53.53,-6.98,-15.97,"C1,C2,C3,C4,C5,C6,C8,C10,C11,C12,C13,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",42
PDMJEPAPER,2026-08-11,89.91,97.81,203.8,94.96,-5.32,-55.88,-8.08,-7.03,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",18
VASCONEQ,2026-08-11,32.03,34.48,74.59,33.61,-4.7,-57.06,-7.11,-20.32,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",18
CEINSYS,2026-08-11,796.05,842.45,1249.9,831.8,-4.3,-36.31,-5.51,-7.61,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27",15
GRADIENTE,2026-08-11,2.57,3.55,5.11,2.78,-7.55,-49.71,-27.61,-13.47,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
HIRECT,2026-08-11,1222.3,1293.0,2108.5,1286.0,-4.95,-42.03,-5.47,-7.43,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
PEARLPOLY,2026-08-11,16.51,21.64,41.0,17.25,-4.29,-59.73,-23.71,-7.4,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26",10
JAYBARMARU,2026-08-11,127.16,132.36,207.0,132.36,-3.93,-38.57,-3.93,-21.74,"C1,C2,C3,C4,C5,C6,C7,C8",8
REPRO,2026-08-11,332.15,354.3,627.0,345.5,-3.86,-47.03,-6.25,-15.66,"C1,C2,C3,C4,C5,C6,C7,C8",8
TARSONS,2026-08-11,297.2,313.5,458.0,308.0,-3.51,-35.11,-5.2,-8.33,"C1,C2,C3,C4,C5,C6,C7,C8",8
WSI,2026-08-11,56.93,60.48,123.01,59.28,-3.96,-53.72,-5.87,-5.13,"C1,C2,C3,C4,C5,C6,C8",7
AVANTIFEED,2026-08-11,859.8,903.75,1593.8,881.05,-2.41,-46.05,-4.86,-3.76,"C2,C3,C5,C6,C7",5
BOMDYEING,2026-08-11,116.11,119.95,198.95,118.8,-2.26,-41.64,-3.2,-4.8,"C2,C3,C5,C6,C7",5
EXICOM,2026-08-11,143.95,153.22,275.71,148.1,-2.8,-47.79,-6.05,-13.22,"C2,C3,C5,C6,C7",5
HPL,2026-08-11,326.15,339.5,639.9,333.8,-2.29,-49.03,-3.93,-2.83,"C2,C3,C5,C6,C7",5
INDIANCARD,2026-08-11,211.44,220.02,384.0,216.51,-2.34,-44.94,-3.9,-6.02,"C2,C3,C5,C6,C7",5
KANANIIND,2026-08-11,1.46,1.5,2.84,1.49,-2.01,-48.59,-2.67,-3.31,"C2,C3,C5,C6,C7",5
KPIGREEN,2026-08-11,350.9,369.25,864.8,365.35,-3.96,-59.42,-4.97,-8.19,"C1,C2,C4,C5,C8",5
PRAKASH,2026-08-11,121.79,130.23,190.9,124.35,-2.06,-36.2,-6.48,-2.75,"C2,C3,C5,C6,C7",5
EFCIL,2026-08-11,177.84,183.59,357.0,182.95,-2.79,-50.18,-3.13,-6.96,"C2,C3,C5,C6",4
GREENPANEL,2026-08-11,183.59,190.06,395.0,188.21,-2.45,-53.52,-3.4,-8.13,"C2,C3,C5,C6",4
KLBRENG-B,2026-08-11,360.1,378.2,544.85,376.0,-4.23,-33.91,-4.79,-14.19,"C1,C4,C8,C26",4
SRGHFL,2026-08-11,272.1,287.05,414.0,283.25,-3.94,-34.28,-5.21,-7.59,"C1,C4,C8",3
FCSSOFT,2026-08-11,1.44,1.47,3.48,1.47,-2.04,-58.62,-2.04,-2.7,"C2,C5",2
KITEX,2026-08-11,133.99,137.94,314.0,137.0,-2.2,-57.33,-2.86,-8.53,"C2,C5",2
ODIGMA,2026-08-11,22.62,25.0,56.09,23.11,-2.12,-59.67,-9.52,-5.91,"C2,C5",2
