SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
ELITECON,2026-07-10,21.1,23.03,46.4,22.87,-7.74,-54.53,-8.38,-20.29,"C1,C2,C3,C4,C5,C6,C8,C10,C11,C12,C13,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",42
PIONRINV,2026-07-10,81.06,84.04,135.44,83.0,-2.34,-40.15,-3.55,-9.12,"C2,C3,C5,C6,C7",5
GOLDIAM,2026-07-10,378.0,420.5,569.0,408.0,-7.35,-33.57,-10.11,-21.32,"C1,C4,C8,C26",4
