SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
JNKINDIA,2026-08-03,410.85,437.55,668.95,428.05,-4.02,-38.58,-6.1,-12.47,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
KCP,2026-08-03,152.97,161.57,245.0,161.0,-4.99,-37.56,-5.32,-5.89,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
ZEEL,2026-08-03,98.14,114.55,151.7,105.8,-7.24,-35.31,-14.33,-9.85,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
RAMCOSYS,2026-08-03,563.95,580.9,967.5,576.15,-2.12,-41.71,-2.92,-11.87,"C2,C3,C5,C6,C7",5
THANGAMAYL,2026-08-03,4965.5,5226.5,7430.0,5226.5,-4.99,-33.17,-4.99,-32.07,"C1,C4,C8,C26",4
PRAXIS,2026-08-03,6.56,7.91,15.0,6.71,-2.24,-56.27,-17.07,-10.63,"C2,C5",2
