SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
NUCLEUS,2026-07-31,686.05,738.15,1378.0,718.05,-4.46,-50.21,-7.06,-5.31,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",20
CUB,2026-07-31,206.5,215.48,324.1,214.44,-3.7,-36.29,-4.17,-6.03,"C1,C2,C3,C4,C5,C6,C7,C8",8
ARTNIRMAN,2026-07-31,37.07,38.8,72.5,38.0,-2.45,-48.87,-4.46,-7.76,"C2,C3,C5,C6,C7",5
AVANTIFEED,2026-07-31,899.6,930.7,1593.8,926.5,-2.9,-43.56,-3.34,-7.93,"C2,C3,C5,C6,C7",5
EXXARO,2026-07-31,6.06,6.31,10.95,6.2,-2.26,-44.66,-3.96,-7.34,"C2,C3,C5,C6,C7",5
ISGEC,2026-07-31,825.95,846.2,1532.0,843.0,-2.02,-46.09,-2.39,-3.47,"C2,C3,C5,C6,C7",5
JNKINDIA,2026-07-31,437.55,458.5,668.95,452.25,-3.25,-34.59,-4.57,-7.08,"C1,C4,C8",3
SABEVENTS,2026-07-31,6.02,6.27,8.74,6.27,-3.99,-31.12,-3.99,-21.51,"C1,C4,C8",3
KPIGREEN,2026-07-31,373.75,383.75,864.8,382.65,-2.33,-56.78,-2.61,-4.22,"C2,C5",2
