SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
ZEEL,2026-09-10,80.95,85.71,151.7,84.81,-4.55,-46.64,-5.55,-11.67,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",21
AFCONS,2026-09-10,260.85,274.15,570.0,273.0,-4.45,-54.24,-4.85,-11.49,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",20
ATALREAL,2026-09-10,15.27,16.96,36.4,16.96,-9.96,-58.05,-9.96,-41.04,"C1,C2,C10,C11,C24,C28,C29,C30,C31,C33,C34,C35,C36,C48,C49,C50",16
RADIANTCMS,2026-09-10,37.53,40.25,77.03,39.24,-4.36,-51.28,-6.76,-5.87,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26",12
LCCINFOTEC,2026-09-10,3.19,3.54,6.31,3.5,-8.86,-49.45,-9.89,-17.14,"C1,C2,C3,C4,C5,C6,C7,C22,C24,C25",10
RAJSREESUG,2026-09-10,33.66,35.22,64.0,35.03,-3.91,-47.41,-4.43,-7.6,"C1,C2,C3,C4,C5,C6,C7,C8",8
BAJEL,2026-09-10,177.42,183.93,280.0,182.0,-2.52,-36.64,-3.54,-4.45,"C2,C3,C5,C6,C7",5
EUROPRATIK,2026-09-10,247.75,254.4,390.0,253.1,-2.11,-36.47,-2.61,-7.21,"C2,C3,C5,C6,C7",5
NELCAST,2026-09-10,110.0,113.94,180.9,113.0,-2.65,-39.19,-3.46,-7.38,"C2,C3,C5,C6,C7",5
SHREDIGCEM,2026-09-10,69.09,70.96,107.7,70.6,-2.14,-35.85,-2.64,-6.99,"C2,C3,C5,C6,C7",5
THOMASCOTT,2026-09-10,243.9,250.6,459.8,249.0,-2.05,-46.96,-2.67,-6.53,"C2,C3,C5,C6,C7",5
LAOPALA,2026-09-10,162.4,167.46,328.0,166.81,-2.64,-50.49,-3.02,-5.33,"C2,C3,C5,C6",4
UEL,2026-09-10,196.8,207.15,284.2,207.15,-5.0,-30.75,-5.0,-14.47,"C1,C4,C8,C26",4
