SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
INDBANK,2026-09-03,28.71,31.1,48.05,30.95,-7.24,-40.25,-7.68,-9.89,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C48,C49,C50,C51,C52",49
TAKE,2026-09-03,13.17,13.86,24.39,13.86,-4.98,-46.0,-4.98,-29.98,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",21
ARIHANTSUP,2026-09-03,236.15,247.75,553.6,244.6,-3.45,-57.34,-4.68,-5.54,"C1,C2,C4,C5,C8",5
CEINSYS,2026-09-03,678.65,697.9,1249.9,694.95,-2.35,-45.7,-2.76,-6.06,"C2,C3,C5,C6,C7",5
PRAKASHSTL,2026-09-03,3.65,3.8,8.64,3.79,-3.69,-57.75,-3.95,-5.44,"C1,C2,C4,C5,C8",5
ROSSARI,2026-09-03,457.0,476.2,841.0,470.0,-2.77,-45.66,-4.03,-9.21,"C2,C3,C5,C6,C7",5
NIMBSPROJ,2026-09-03,151.93,159.92,231.23,159.61,-4.81,-34.29,-5.0,-13.81,"C1,C4,C8,C26",4
