SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
SUZLON,2026-07-28,48.02,53.15,74.3,51.79,-7.28,-35.37,-9.65,-9.69,"C1,C2,C3,C4,C5,C6,C7,C8,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",28
WAAREEINDO,2026-07-28,318.9,335.05,561.95,335.05,-4.82,-43.25,-4.82,-15.68,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45,C46",22
NAGREEKEXP,2026-07-28,21.28,22.83,43.5,22.36,-4.83,-51.08,-6.79,-9.06,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",20
RAMCOSYS,2026-07-28,607.95,639.9,967.5,639.9,-4.99,-37.16,-4.99,-23.66,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
VBL,2026-07-28,430.0,464.5,663.6,451.15,-4.69,-35.2,-7.43,-7.22,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
PANACEABIO,2026-07-28,414.4,433.1,647.0,431.05,-3.86,-35.95,-4.32,-16.11,"C1,C2,C3,C4,C5,C6,C7,C8",8
SASKEN,2026-07-28,1742.2,1819.0,2780.2,1800.0,-3.21,-37.34,-4.22,-5.91,"C1,C2,C3,C4,C5,C6,C7,C8",8
SHREERAMA,2026-07-28,38.05,39.8,71.99,39.26,-3.08,-47.15,-4.4,-8.97,"C1,C2,C3,C4,C5,C6,C7,C8",8
AKSHAR,2026-07-28,0.4,0.41,0.76,0.41,-2.44,-47.37,-2.44,-6.98,"C2,C3,C5,C6,C7",5
BIRLACORPN,2026-07-28,875.75,910.2,1535.3,900.0,-2.69,-42.96,-3.78,-13.23,"C2,C3,C5,C6,C7",5
GEOJITFSL,2026-07-28,72.89,75.16,119.9,75.0,-2.81,-39.21,-3.02,-11.11,"C2,C3,C5,C6,C7",5
HARRMALAYA,2026-07-28,208.99,214.89,337.9,214.1,-2.39,-38.15,-2.75,-4.63,"C2,C3,C5,C6,C7",5
PATELENG,2026-07-28,27.06,27.98,53.7,27.65,-2.13,-49.61,-3.29,-9.13,"C2,C3,C5,C6,C7",5
RPPL,2026-07-28,20.38,21.69,38.99,20.8,-2.02,-47.73,-6.04,-7.7,"C2,C3,C5,C6,C7",5
BBOX,2026-07-28,732.45,775.7,1103.0,759.0,-3.5,-33.59,-5.58,-9.74,"C1,C4,C8",3
GVPIL,2026-07-28,746.4,779.85,1084.0,772.1,-3.33,-31.14,-4.29,-8.0,"C1,C4,C8",3
