SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CONFIGS_MATCHED,CONFIG_COUNT
SOMICONVEY,2026-05-21,100.41,110.87,227.9,107.55,-6.64,-55.94,-9.43,"C1,C2,C3,C4",4
LEMERITE,2026-05-21,341.2,416.95,537.85,358.75,-4.89,-36.56,-18.17,"C3,C4",2
PIIND,2026-05-21,2740.5,2901.2,4330.0,2860.1,-4.18,-36.71,-5.54,"C3,C4",2
