SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
GICL,2026-06-25,18.09,20.1,43.93,19.81,-8.68,-58.82,-10.0,-21.14,"C1,C2,C4,C5,C10,C11,C17,C18,C22,C24,C25,C28,C29,C30,C31,C33,C34,C35,C36,C37,C38,C39,C40,C42,C43,C44,C45,C48,C49,C50",30
CSBBANK,2026-06-25,324.6,343.75,574.4,341.55,-4.96,-43.49,-5.57,-11.67,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45,C46",22
ASTEC,2026-06-25,725.45,751.9,1263.85,749.25,-3.18,-42.6,-3.52,-8.62,"C1,C2,C3,C4,C5,C6,C7,C8",8
EXICOM,2026-06-25,158.07,165.06,275.71,164.0,-3.62,-42.67,-4.23,-5.99,"C1,C2,C3,C4,C5,C6,C7,C8",8
JAINREC,2026-06-25,349.55,365.7,593.95,362.85,-3.67,-41.15,-4.42,-5.82,"C1,C2,C3,C4,C5,C6,C7,C8",8
MAHKTECH,2026-06-25,21.42,22.12,35.59,22.12,-3.16,-39.81,-3.16,-5.39,"C1,C2,C3,C4,C5,C6,C7,C8",8
PARAS,2026-06-25,1233.75,1288.45,1945.0,1276.25,-3.33,-36.57,-4.25,-5.84,"C1,C2,C3,C4,C5,C6,C7,C8",8
BAJAJHIND,2026-06-25,18.15,18.83,31.71,18.57,-2.26,-42.76,-3.61,-6.44,"C2,C3,C5,C6,C7",5
GTLINFRA,2026-06-25,1.4,1.44,2.17,1.43,-2.1,-35.48,-2.78,-8.5,"C2,C3,C5,C6,C7",5
MALLCOM,2026-06-25,1006.8,1050.6,1564.0,1037.2,-2.93,-35.63,-4.17,-6.85,"C2,C3,C5,C6,C7",5
MARSONS,2026-06-25,112.44,117.14,175.4,115.85,-2.94,-35.9,-4.01,-4.29,"C2,C3,C5,C6,C7",5
TRIGYN,2026-06-25,52.17,54.7,122.4,54.0,-3.39,-57.38,-4.63,-10.24,"C1,C2,C4,C5,C8",5
ZENITHEXPO,2026-06-25,200.04,205.79,360.7,205.68,-2.74,-44.54,-2.79,-6.63,"C2,C3,C5,C6,C7",5
ISFT,2026-06-25,78.08,80.15,157.78,79.86,-2.23,-50.51,-2.58,-5.36,"C2,C3,C5,C6",4
NILAINFRA,2026-06-25,7.68,7.89,15.49,7.85,-2.17,-50.42,-2.66,-4.6,"C2,C3,C5,C6",4
PLATIND,2026-06-25,221.14,229.11,444.0,226.38,-2.31,-50.19,-3.48,-3.17,"C2,C3,C5,C6",4
SHAH,2026-06-25,4.08,4.39,5.88,4.35,-6.21,-30.61,-7.06,-12.26,"C1,C4,C8,C26",4
MICEL,2026-06-25,40.42,41.31,91.0,41.26,-2.04,-55.58,-2.15,-5.52,"C2,C5",2
NECCLTD,2026-06-25,16.05,16.52,39.0,16.38,-2.01,-58.85,-2.85,-7.55,"C2,C5",2
PCJEWELLER,2026-06-25,8.57,8.78,19.65,8.75,-2.06,-56.39,-2.39,-4.03,"C2,C5",2
SALASAR,2026-06-25,6.17,6.44,14.26,6.32,-2.37,-56.73,-4.19,-12.98,"C2,C5",2
