SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
DCM,2026-09-15,76.42,92.89,136.0,82.01,-6.82,-43.81,-17.73,-19.63,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C48,C49,C50,C51,C52",36
NIITLTD,2026-09-15,87.32,92.49,204.2,92.0,-5.09,-57.24,-5.59,-10.18,"C1,C2,C4,C5,C8,C10,C11,C17,C18,C22,C23,C24,C25,C26,C28,C29,C30,C31,C33,C34,C35,C36,C37,C38,C39,C40,C42,C43,C44,C45,C48,C49,C50",33
TRIGYN,2026-09-15,52.58,56.1,122.4,55.35,-5.0,-57.04,-6.27,-12.19,"C1,C2,C4,C5,C8,C10,C11,C17,C18,C22,C23,C24,C25,C26,C28,C29,C30,C31,C33,C34,C35,C36,C37,C38,C39,C40,C42,C43,C44,C45,C48,C49,C50",33
BAJAJHIND,2026-09-15,19.71,20.94,31.71,20.8,-5.24,-37.84,-5.87,-13.44,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",30
BORORENEW,2026-09-15,461.3,495.65,721.0,494.0,-6.62,-36.02,-6.93,-10.19,"C1,C2,C3,C4,C5,C6,C7,C8,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",28
RMC,2026-09-15,201.09,211.68,372.0,210.31,-4.38,-45.94,-5.0,-13.81,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",21
BALUFORGE,2026-09-15,498.2,533.4,817.9,523.3,-4.8,-39.09,-6.6,-10.65,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
NACLIND,2026-09-15,149.92,157.62,245.0,156.6,-4.27,-38.81,-4.89,-8.91,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
SHRIKRISH,2026-09-15,34.22,37.0,56.0,36.0,-4.94,-38.89,-7.51,-12.75,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
VEDPOWER,2026-09-15,31.68,33.62,49.88,33.34,-4.98,-36.49,-5.77,-7.15,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
WANBURY,2026-09-15,223.1,239.35,358.85,234.75,-4.96,-37.83,-6.79,-10.96,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
SERVOTECH,2026-09-15,72.86,77.28,172.9,76.26,-4.46,-57.86,-5.72,-7.81,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",18
CLSEL,2026-09-15,281.6,296.5,447.2,294.45,-4.36,-37.03,-5.03,-6.02,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27",15
JINDRILL,2026-09-15,598.65,633.25,990.35,630.25,-5.01,-39.55,-5.46,-9.86,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27",15
SBICARD,2026-09-15,618.6,655.2,1027.25,648.75,-4.65,-39.78,-5.59,-8.31,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27",15
ALMONDZ,2026-09-15,16.84,19.13,31.7,17.9,-5.92,-46.88,-11.97,-12.29,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
KAMATHOTEL,2026-09-15,207.6,224.2,353.6,220.2,-5.72,-41.29,-7.4,-9.02,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
MANUGRAPH,2026-09-15,14.65,16.23,25.3,15.81,-7.34,-42.09,-9.74,-11.59,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
RADHIKAJWE,2026-09-15,75.47,83.21,118.99,81.46,-7.35,-36.57,-9.3,-19.95,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
SIGACHI,2026-09-15,31.51,37.93,59.59,33.62,-6.28,-47.12,-16.93,-8.43,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
CROWN,2026-09-15,106.83,112.55,231.99,112.0,-4.62,-53.95,-5.08,-7.42,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26",12
PROSTARM,2026-09-15,126.04,133.63,253.49,132.5,-4.88,-50.28,-5.68,-9.23,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26",12
IOLCP,2026-09-15,179.52,194.31,446.2,192.0,-6.5,-59.77,-7.61,-15.73,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26",10
ARVSMART,2026-09-15,564.15,598.05,927.95,585.15,-3.59,-39.2,-5.67,-12.78,"C1,C2,C3,C4,C5,C6,C7,C8",8
BAJEL,2026-09-15,168.87,179.89,280.0,175.0,-3.5,-39.69,-6.13,-9.91,"C1,C2,C3,C4,C5,C6,C7,C8",8
BCLIND,2026-09-15,32.95,34.18,52.01,34.01,-3.12,-36.65,-3.6,-9.68,"C1,C2,C3,C4,C5,C6,C7,C8",8
BOROSCI,2026-09-15,120.02,125.28,190.79,123.9,-3.13,-37.09,-4.2,-8.14,"C1,C2,C3,C4,C5,C6,C7,C8",8
COCHINSHIP,2026-09-15,1325.0,1381.0,2545.0,1372.0,-3.43,-47.94,-4.06,-12.04,"C1,C2,C3,C4,C5,C6,C7,C8",8
EPACKPEB,2026-09-15,221.26,240.44,344.0,228.15,-3.02,-35.68,-7.98,-3.98,"C1,C2,C3,C4,C5,C6,C7,C8",8
GFLLIMITED,2026-09-15,54.69,58.27,92.28,56.42,-3.07,-40.73,-6.14,-12.03,"C1,C2,C3,C4,C5,C6,C7,C8",8
GODREJPROP,2026-09-15,1659.3,1748.0,2830.6,1719.0,-3.47,-41.38,-5.07,-13.68,"C1,C2,C3,C4,C5,C6,C7,C8",8
GVPIL,2026-09-15,620.05,652.65,1084.0,640.4,-3.18,-42.8,-5.0,-5.36,"C1,C2,C3,C4,C5,C6,C7,C8",8
ICEMAKE,2026-09-15,695.55,730.1,1088.75,720.0,-3.4,-36.11,-4.73,-4.03,"C1,C2,C3,C4,C5,C6,C7,C8",8
INDOSTAR,2026-09-15,233.07,244.38,366.3,241.68,-3.56,-36.37,-4.63,-7.91,"C1,C2,C3,C4,C5,C6,C7,C8",8
KIOCL,2026-09-15,340.8,355.9,634.55,354.3,-3.81,-46.29,-4.24,-9.48,"C1,C2,C3,C4,C5,C6,C7,C8",8
MALLCOM,2026-09-15,911.95,952.15,1564.0,943.0,-3.29,-41.69,-4.22,-6.69,"C1,C2,C3,C4,C5,C6,C7,C8",8
